name,n_phases,r1,x1,r0,x0,c1,c0,units,r_matrix,x_matrix,c_matrix,rg,xg,rho,symmetrical_components
ug_600_al_xlpe_35kv,3,0.2666,0.3506,0.7207,0.1272,3.46368E-7,3.46368E-7,mi,[  0.41796667 |  0.15136667   0.41796667 |  0.15136667   0.15136667   0.41796667 ],[  0.27613333 | -0.07446667   0.27613333 | -0.07446667  -0.07446667   0.27613333 ],[346.36800000 |  0.00000000 346.36800000 |  0.00000000   0.00000000 346.36800000 ],0.01805,0.155081,100,true
ug_1000_al_xlpe_35kv,3,0.2101,0.3047,0.5433,0.1093,4.62E-7,4.62E-7,mi,[  0.32116667 |  0.11106667   0.32116667 |  0.11106667   0.11106667   0.32116667 ],[  0.23956667 | -0.06513333   0.23956667 | -0.06513333  -0.06513333   0.23956667 ],[462.00000000 |  0.00000000 462.00000000 |  0.00000000   0.00000000 462.00000000 ],0.01805,0.155081,100,true
ug_1/0_al_xlpe_35kv_1_phase,1,1.59,0.57,1.59,0.57,1.85E-7,1.85E-7,mi,[  1.59000000 ],[  0.57000000 ],[185.00000000 ],0.01805,0.155081,100,true
busbar,3,0.005,0,0.005,0,3.4E-9,1.6E-9,kft,[  0.00500000 |  0.00000000   0.00500000 |  0.00000000   0.00000000   0.00500000 ],[  0.00000000 |  0.00000000   0.00000000 |  0.00000000   0.00000000   0.00000000 ],[  2.80000000 | -0.60000000   2.80000000 | -0.60000000  -0.60000000   2.80000000 ],0.01805,0.155081,100,true
ug_1/0_al_xlpe_35kv,3,0.9821,0.4794,1.7978,0.1922,1.85E-7,1.85E-7,mi,[  1.25400000 |  0.27190000   1.25400000 |  0.27190000   0.27190000   1.25400000 ],[  0.38366667 | -0.09573333   0.38366667 | -0.09573333  -0.09573333   0.38366667 ],[185.00000000 |  0.00000000 185.00000000 |  0.00000000   0.00000000 185.00000000 ],0.01805,0.155081,100,true
sweetbriar,1,0.5333,0.1399,0.5333,0.1399,3.4E-9,1.6E-9,mi,[  0.53330000 ],[  0.13990000 ],[  2.80000000 ],0.01805,0.155081,100,true
kronkron1/0,1,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,kft,[  0.36742424 ],[  0.07856808 ],[ 15.00000000 ],0.01805,0.155081,100,false
1/0-3phase,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,kft,[  0.20176167 |  0.01804955   0.20176167 |  0.01804955   0.01804955   0.20176167 ],[  0.28577060 |  0.25445134   0.28577060 |  0.24648656   0.25445134   0.28577060 ],[ 15.00000000 | -7.00000000  15.00000000 | -7.00000000  -7.00000000  15.00000000 ],0.01805,0.155081,100,false
2/0_2/0,1,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,kft,[  0.29128788 ],[  0.07852210 ],[ 15.00000000 ],0.01805,0.155081,100,false
2/0_2/0-3ph,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,kft,[  0.16369348 |  0.01804955   0.16369348 |  0.01804955   0.01804955   0.16369348 ],[  0.28304078 |  0.25174451   0.28304078 |  0.24377973   0.25174451   0.28304078 ],[ 15.00000000 | -7.00000000  15.00000000 | -7.00000000  -7.00000000  15.00000000 ],0.01805,0.155081,100,false
4/0_4/0,1,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,kft,[  0.18333334 ],[  0.07840812 ],[ 15.00000000 ],0.01805,0.155081,100,false
4/0_4/0-3ph,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,kft,[  0.10971621 |  0.01804955   0.10971621 |  0.01804955   0.01804955   0.10971621 ],[  0.27765665 |  0.24641736   0.27765665 |  0.23845259   0.24641736   0.27765665 ],[ 15.00000000 | -7.00000000  15.00000000 | -7.00000000  -7.00000000  15.00000000 ],0.01805,0.155081,100,false
500_500-3ph,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,kft,[  0.05706470 |  0.01804955   0.05706470 |  0.01804955   0.01804955   0.05706470 ],[  0.26620988 |  0.23623511   0.26620988 |  0.22827034   0.23623511   0.26620988 ],[ 15.00000000 | -7.00000000  15.00000000 | -7.00000000  -7.00000000  15.00000000 ],0.01805,0.155081,100,false
750_750-3ph,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,kft,[  0.04437530 |  0.01804955   0.04437530 |  0.01804955   0.01804955   0.04437530 ],[  0.26150996 |  0.24834508   0.26150996 |  0.24038031   0.24834508   0.26150996 ],[ 15.00000000 | -7.00000000  15.00000000 | -7.00000000  -7.00000000  15.00000000 ],0.01805,0.155081,100,false
unknown,3,0.058,0.1206,0.1784,0.4047,3.4E-9,1.6E-9,kft,[  0.04437530 |  0.01804955   0.04437530 |  0.01804955   0.01804955   0.04437530 ],[  0.26150996 |  0.24834508   0.26150996 |  0.24038031   0.24834508   0.26150996 ],[ 15.00000000 | -7.00000000  15.00000000 | -7.00000000  -7.00000000  15.00000000 ],0.01805,0.155081,100,false
